#,,,,,,,
#,,,,,,,
# US Geological Survey,,,,,,,
# retrieved: 2022-06-29 16:02:46 EDT      (caww01),,,,,,,
#,,,,,,,
# This file contains USGS Surface-Water Monthly Statistics,,,,,,,
#,,,,,,,
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.,,,,,,,
# The user is responsible for assessment and use of statistics from this site.,,,,,,,
# For more details on why the statistics may not match,,,,,,,
#,,,,,,,
# ** No Incomplete data have been used for statistical calculation,,,,,,,
#,,,,,,,
# This file includes the following columns:,,,,,,,
#,,,,,,,
#,,,,,,,
# agency_cd    agency code,,,,,,,
# site_no USGS site number,,,,,,,
# parameter_cd,,,,,,,
# ts_id,,,,,,,
# year_nu Calendar year for value,,,,,,,
# month_nu     Month for value,,,,,,,
# mean_va monthly-mean value.,,,,,,,
#         if there is not complete record,,,,,,,
#         for a month this field is blank,,,,,,,
#,,,,,,,
#,,,,,,,
# Sites in this file include:,,,,,,,
# USGS 09163500 COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,,,,,,,
# ,,,,,,,
# Explanation of Parameter Code and ts_id used in the Statistics Data ,,,,,,,
# parameter_cd,Parameter Name,,,,,ts_id,Location Name
# 00060,,Discharge,,,,,
#,,,,,,,
#,,,,,,,
agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va,
5s,15s,5s,3n,4s,2s,12n,
USGS,9163500,60,19083,1989,6,6234,
USGS,9163500,60,19083,1989,7,3064,
USGS,9163500,60,19083,1989,8,3281,
USGS,9163500,60,19083,1989,9,2862,
USGS,9163500,60,19083,1989,10,3274,
USGS,9163500,60,19083,1989,11,2851,
USGS,9163500,60,19083,1989,12,2240,
USGS,9163500,60,19083,1990,1,2169,
USGS,9163500,60,19083,1990,2,2112,
USGS,9163500,60,19083,1990,3,2229,
USGS,9163500,60,19083,1990,4,2503,
USGS,9163500,60,19083,1990,5,4078,
USGS,9163500,60,19083,1990,6,7131,
USGS,9163500,60,19083,1990,7,3235,
USGS,9163500,60,19083,1990,8,2336,
USGS,9163500,60,19083,1990,9,2998,
USGS,9163500,60,19083,1990,10,3150,
USGS,9163500,60,19083,1990,11,3013,
USGS,9163500,60,19083,1990,12,2226,
USGS,9163500,60,19083,1991,1,2272,
USGS,9163500,60,19083,1991,2,2851,
USGS,9163500,60,19083,1991,3,2714,
USGS,9163500,60,19083,1991,4,3729,
USGS,9163500,60,19083,1991,5,10610,
USGS,9163500,60,19083,1991,6,14320,
USGS,9163500,60,19083,1991,7,5289,
USGS,9163500,60,19083,1991,8,3592,
USGS,9163500,60,19083,1991,9,4379,
USGS,9163500,60,19083,1991,10,3887,
USGS,9163500,60,19083,1991,11,4355,
USGS,9163500,60,19083,1991,12,3666,
USGS,9163500,60,19083,1992,1,3057,
USGS,9163500,60,19083,1992,2,2993,
USGS,9163500,60,19083,1992,3,3122,
USGS,9163500,60,19083,1992,4,4988,
USGS,9163500,60,19083,1992,5,10170,
USGS,9163500,60,19083,1992,6,7415,
USGS,9163500,60,19083,1992,7,4236,
USGS,9163500,60,19083,1992,8,3577,
USGS,9163500,60,19083,1992,9,3497,
USGS,9163500,60,19083,1992,10,3223,
USGS,9163500,60,19083,1992,11,3511,
USGS,9163500,60,19083,1992,12,2610,
USGS,9163500,60,19083,1993,1,2535,
USGS,9163500,60,19083,1993,2,3215,
USGS,9163500,60,19083,1993,3,5384,
USGS,9163500,60,19083,1993,4,7737,
USGS,9163500,60,19083,1993,5,27350,
USGS,9163500,60,19083,1993,6,25390,
USGS,9163500,60,19083,1993,7,10970,
USGS,9163500,60,19083,1993,8,5097,
USGS,9163500,60,19083,1993,9,4604,
USGS,9163500,60,19083,1993,10,4568,
USGS,9163500,60,19083,1993,11,4768,
USGS,9163500,60,19083,1993,12,4320,
USGS,9163500,60,19083,1994,1,3795,
USGS,9163500,60,19083,1994,2,3234,
USGS,9163500,60,19083,1994,3,3626,
USGS,9163500,60,19083,1994,4,4419,
USGS,9163500,60,19083,1994,5,9912,
USGS,9163500,60,19083,1994,6,7857,
USGS,9163500,60,19083,1994,7,2893,
USGS,9163500,60,19083,1994,8,2761,
USGS,9163500,60,19083,1994,9,3342,
USGS,9163500,60,19083,1994,10,3822,
USGS,9163500,60,19083,1994,11,3383,
USGS,9163500,60,19083,1994,12,3194,
USGS,9163500,60,19083,1995,1,2725,
USGS,9163500,60,19083,1995,2,2724,
USGS,9163500,60,19083,1995,3,4149,
USGS,9163500,60,19083,1995,4,5540,
USGS,9163500,60,19083,1995,5,15040,
USGS,9163500,60,19083,1995,6,33590,
USGS,9163500,60,19083,1995,7,29650,
USGS,9163500,60,19083,1995,8,8360,
USGS,9163500,60,19083,1995,9,4731,
USGS,9163500,60,19083,1995,10,5689,
USGS,9163500,60,19083,1995,11,5945,
USGS,9163500,60,19083,1995,12,5239,
USGS,9163500,60,19083,1996,1,4495,
USGS,9163500,60,19083,1996,2,4593,
USGS,9163500,60,19083,1996,3,5263,
USGS,9163500,60,19083,1996,4,9181,
USGS,9163500,60,19083,1996,5,18460,
USGS,9163500,60,19083,1996,6,17620,
USGS,9163500,60,19083,1996,7,7816,
USGS,9163500,60,19083,1996,8,3225,
USGS,9163500,60,19083,1996,9,4375,
USGS,9163500,60,19083,1996,10,4622,
USGS,9163500,60,19083,1996,11,4991,
USGS,9163500,60,19083,1996,12,4359,
USGS,9163500,60,19083,1997,1,4587,
USGS,9163500,60,19083,1997,2,4794,
USGS,9163500,60,19083,1997,3,7157,
USGS,9163500,60,19083,1997,4,9932,
USGS,9163500,60,19083,1997,5,22500,
USGS,9163500,60,19083,1997,6,29980,
USGS,9163500,60,19083,1997,7,10260,
USGS,9163500,60,19083,1997,8,7490,
USGS,9163500,60,19083,1997,9,7174,
USGS,9163500,60,19083,1997,10,7356,
USGS,9163500,60,19083,1997,11,6025,
USGS,9163500,60,19083,1997,12,5365,
USGS,9163500,60,19083,1998,1,5049,
USGS,9163500,60,19083,1998,2,4682,
USGS,9163500,60,19083,1998,3,5534,
USGS,9163500,60,19083,1998,4,7764,
USGS,9163500,60,19083,1998,5,18470,
USGS,9163500,60,19083,1998,6,12450,
USGS,9163500,60,19083,1998,7,7132,
USGS,9163500,60,19083,1998,8,4330,
USGS,9163500,60,19083,1998,9,4248,
USGS,9163500,60,19083,1998,10,4877,
USGS,9163500,60,19083,1998,11,4608,
USGS,9163500,60,19083,1998,12,3486,
USGS,9163500,60,19083,1999,1,3404,
USGS,9163500,60,19083,1999,2,3214,
USGS,9163500,60,19083,1999,3,3221,
USGS,9163500,60,19083,1999,4,3387,
USGS,9163500,60,19083,1999,5,9775,
USGS,9163500,60,19083,1999,6,15190,
USGS,9163500,60,19083,1999,7,8085,
USGS,9163500,60,19083,1999,8,6824,
USGS,9163500,60,19083,1999,9,6041,
USGS,9163500,60,19083,1999,10,5618,
USGS,9163500,60,19083,1999,11,4094,
USGS,9163500,60,19083,1999,12,3466,
USGS,9163500,60,19083,2000,1,3059,
USGS,9163500,60,19083,2000,2,2895,
USGS,9163500,60,19083,2000,3,3242,
USGS,9163500,60,19083,2000,4,5245,
USGS,9163500,60,19083,2000,5,10940,
USGS,9163500,60,19083,2000,6,8640,
USGS,9163500,60,19083,2000,7,3589,
USGS,9163500,60,19083,2000,8,3368,
USGS,9163500,60,19083,2000,9,3640,
USGS,9163500,60,19083,2000,10,3394,
USGS,9163500,60,19083,2000,11,3268,
USGS,9163500,60,19083,2000,12,2867,
USGS,9163500,60,19083,2001,1,2597,
USGS,9163500,60,19083,2001,2,2567,
USGS,9163500,60,19083,2001,3,2834,
USGS,9163500,60,19083,2001,4,3372,
USGS,9163500,60,19083,2001,5,9017,
USGS,9163500,60,19083,2001,6,6310,
USGS,9163500,60,19083,2001,7,3047,
USGS,9163500,60,19083,2001,8,3521,
USGS,9163500,60,19083,2001,9,3505,
USGS,9163500,60,19083,2001,10,3277,
USGS,9163500,60,19083,2001,11,3074,
USGS,9163500,60,19083,2001,12,2505,
USGS,9163500,60,19083,2002,1,2399,
USGS,9163500,60,19083,2002,2,2233,
USGS,9163500,60,19083,2002,3,2347,
USGS,9163500,60,19083,2002,4,2734,
USGS,9163500,60,19083,2002,5,2640,
USGS,9163500,60,19083,2002,6,2431,
USGS,9163500,60,19083,2002,7,1675,
USGS,9163500,60,19083,2002,8,1597,
USGS,9163500,60,19083,2002,9,2094,
USGS,9163500,60,19083,2002,10,2455,
USGS,9163500,60,19083,2002,11,2603,
USGS,9163500,60,19083,2002,12,1980,
USGS,9163500,60,19083,2003,1,1876,
USGS,9163500,60,19083,2003,2,1822,
USGS,9163500,60,19083,2003,3,2030,
USGS,9163500,60,19083,2003,4,2341,
USGS,9163500,60,19083,2003,5,9043,
USGS,9163500,60,19083,2003,6,10100,
USGS,9163500,60,19083,2003,7,3066,
USGS,9163500,60,19083,2003,8,2660,
USGS,9163500,60,19083,2003,9,3637,
USGS,9163500,60,19083,2003,10,3223,
USGS,9163500,60,19083,2003,11,2822,
USGS,9163500,60,19083,2003,12,2391,
USGS,9163500,60,19083,2004,1,2159,
USGS,9163500,60,19083,2004,2,2115,
USGS,9163500,60,19083,2004,3,2809,
USGS,9163500,60,19083,2004,4,3900,
USGS,9163500,60,19083,2004,5,6615,
USGS,9163500,60,19083,2004,6,5309,
USGS,9163500,60,19083,2004,7,2942,
USGS,9163500,60,19083,2004,8,2474,
USGS,9163500,60,19083,2004,9,3417,
USGS,9163500,60,19083,2004,10,3933,
USGS,9163500,60,19083,2004,11,3394,
USGS,9163500,60,19083,2004,12,2655,
