#,,,,,,,
#,,,,,,,
# US Geological Survey,,,,,,,
# retrieved: 2022-06-29 22:50:03 EDT      (caww01),,,,,,,
#,,,,,,,
# This file contains USGS Surface-Water Monthly Statistics,,,,,,,
#,,,,,,,
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.,,,,,,,
# The user is responsible for assessment and use of statistics from this site.,,,,,,,
# For more details on why the statistics may not match,,,,,,,
#,,,,,,,
# ** No Incomplete data have been used for statistical calculation,,,,,,,
#,,,,,,,
# This file includes the following columns:,,,,,,,
#,,,,,,,
#,,,,,,,
# agency_cd    agency code,,,,,,,
# site_no USGS site number,,,,,,,
# parameter_cd,,,,,,,
# ts_id,,,,,,,
# year_nu Calendar year for value,,,,,,,
# month_nu     Month for value,,,,,,,
# mean_va monthly-mean value.,,,,,,,
#         if there is not complete record,,,,,,,
#         for a month this field is blank,,,,,,,
#,,,,,,,
#,,,,,,,
# Sites in this file include:,,,,,,,
# USGS 09050700 BLUE RIVER BELOW DILLON,,,,,,,
# ,,,,,,,
# Explanation of Parameter Code and ts_id used in the Statistics Data ,,,,,,,
# parameter_cd,Parameter Name,,,,,ts_id,Location Name
# 00060,,Discharge,,,,,
#,,,,,,,
#,,,,,,,
agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va,
5s,15s,5s,3n,4s,2s,12n,
USGS,9050700,60,18527,1989,3,93.5,
USGS,9050700,60,18527,1989,4,156,
USGS,9050700,60,18527,1989,5,145,
USGS,9050700,60,18527,1989,6,621.2,
USGS,9050700,60,18527,1989,7,83.3,
USGS,9050700,60,18527,1989,8,107.3,
USGS,9050700,60,18527,1989,9,67.4,
USGS,9050700,60,18527,1989,10,79.6,
USGS,9050700,60,18527,1989,11,90.6,
USGS,9050700,60,18527,1989,12,99.8,
USGS,9050700,60,18527,1990,1,101,
USGS,9050700,60,18527,1990,2,101,
USGS,9050700,60,18527,1990,3,107.6,
USGS,9050700,60,18527,1990,4,177.3,
USGS,9050700,60,18527,1990,5,130.2,
USGS,9050700,60,18527,1990,6,591.7,
USGS,9050700,60,18527,1990,7,94.2,
USGS,9050700,60,18527,1990,8,103.2,
USGS,9050700,60,18527,1990,9,104.2,
USGS,9050700,60,18527,1990,10,124.2,
USGS,9050700,60,18527,1990,11,106.5,
USGS,9050700,60,18527,1990,12,103.7,
USGS,9050700,60,18527,1991,1,103.8,
USGS,9050700,60,18527,1991,2,101.4,
USGS,9050700,60,18527,1991,3,69.3,
USGS,9050700,60,18527,1991,4,181.9,
USGS,9050700,60,18527,1991,5,110.8,
USGS,9050700,60,18527,1991,6,635.8,
USGS,9050700,60,18527,1991,7,109.5,
USGS,9050700,60,18527,1991,8,142.4,
USGS,9050700,60,18527,1991,9,151.7,
USGS,9050700,60,18527,1991,10,81.2,
USGS,9050700,60,18527,1991,11,80.4,
USGS,9050700,60,18527,1991,12,104.7,
USGS,9050700,60,18527,1992,1,102.6,
USGS,9050700,60,18527,1992,2,104.6,
USGS,9050700,60,18527,1992,3,105,
