#,,,,,,,
#,,,,,,,
# US Geological Survey,,,,,,,
# retrieved: 2022-06-29 22:47:22 EDT      (caww01),,,,,,,
#,,,,,,,
# This file contains USGS Surface-Water Monthly Statistics,,,,,,,
#,,,,,,,
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.,,,,,,,
# The user is responsible for assessment and use of statistics from this site.,,,,,,,
# For more details on why the statistics may not match,,,,,,,
#,,,,,,,
# ** No Incomplete data have been used for statistical calculation,,,,,,,
#,,,,,,,
# This file includes the following columns:,,,,,,,
#,,,,,,,
#,,,,,,,
# agency_cd    agency code,,,,,,,
# site_no USGS site number,,,,,,,
# parameter_cd,,,,,,,
# ts_id,,,,,,,
# year_nu Calendar year for value,,,,,,,
# month_nu     Month for value,,,,,,,
# mean_va monthly-mean value.,,,,,,,
#         if there is not complete record,,,,,,,
#         for a month this field is blank,,,,,,,
#,,,,,,,
#,,,,,,,
# Sites in this file include:,,,,,,,
# USGS 09085100 COLORADO RIVER BELOW GLENWOOD SPRINGS,,,,,,,
# ,,,,,,,
# Explanation of Parameter Code and ts_id used in the Statistics Data ,,,,,,,
# parameter_cd,Parameter Name,,,,,ts_id,Location Name
# 00060,,Discharge,,,,,
#,,,,,,,
#,,,,,,,
agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va,
5s,15s,5s,3n,4s,2s,12n,
USGS,9085100,60,18723,1989,6,4828,
USGS,9085100,60,18723,1989,7,2736,
USGS,9085100,60,18723,1989,8,2363,
USGS,9085100,60,18723,1989,9,1956,
USGS,9085100,60,18723,1989,10,1897,
USGS,9085100,60,18723,1989,11,1491,
USGS,9085100,60,18723,1989,12,1264,
USGS,9085100,60,18723,1990,1,1147,
USGS,9085100,60,18723,1990,2,1103,
USGS,9085100,60,18723,1990,3,1226,
USGS,9085100,60,18723,1990,4,1876,
USGS,9085100,60,18723,1990,5,2834,
USGS,9085100,60,18723,1990,6,5957,
USGS,9085100,60,18723,1990,7,2898,
USGS,9085100,60,18723,1990,8,2159,
USGS,9085100,60,18723,1990,9,1972,
USGS,9085100,60,18723,1990,10,1876,
USGS,9085100,60,18723,1990,11,1650,
USGS,9085100,60,18723,1990,12,1276,
USGS,9085100,60,18723,1991,1,1275,
USGS,9085100,60,18723,1991,2,1214,
USGS,9085100,60,18723,1991,3,1244,
USGS,9085100,60,18723,1991,4,1940,
USGS,9085100,60,18723,1991,5,5751,
USGS,9085100,60,18723,1991,6,8497,
USGS,9085100,60,18723,1991,7,3696,
USGS,9085100,60,18723,1991,8,2300,
USGS,9085100,60,18723,1991,9,2256,
USGS,9085100,60,18723,1991,10,1842,
USGS,9085100,60,18723,1991,11,1799,
USGS,9085100,60,18723,1991,12,1404,
USGS,9085100,60,18723,1992,1,1328,
USGS,9085100,60,18723,1992,2,1351,
USGS,9085100,60,18723,1992,3,1495,
USGS,9085100,60,18723,1992,4,2476,
USGS,9085100,60,18723,1992,5,4913,
USGS,9085100,60,18723,1992,6,4305,
USGS,9085100,60,18723,1992,7,2757,
USGS,9085100,60,18723,1992,8,2401,
USGS,9085100,60,18723,1992,9,2046,
USGS,9085100,60,18723,1992,10,1725,
USGS,9085100,60,18723,1992,11,1707,
USGS,9085100,60,18723,1992,12,1356,
USGS,9085100,60,18723,1993,1,1246,
USGS,9085100,60,18723,1993,2,1206,
USGS,9085100,60,18723,1993,3,1578,
USGS,9085100,60,18723,1993,4,2516,
USGS,9085100,60,18723,1993,5,9975,
USGS,9085100,60,18723,1993,6,13130,
USGS,9085100,60,18723,1993,7,7355,
USGS,9085100,60,18723,1993,8,3254,
USGS,9085100,60,18723,1993,9,2452,
USGS,9085100,60,18723,1993,10,2127,
USGS,9085100,60,18723,1993,11,1848,
USGS,9085100,60,18723,1993,12,1653,
USGS,9085100,60,18723,1994,1,1591,
USGS,9085100,60,18723,1994,2,1567,
USGS,9085100,60,18723,1994,3,1805,
