Gage,Year,Simulated Flow (acre-feet/month),Simulated Flow (m3/s)
9163500,1923,154168,72.3124697
9163500,1923,256330,120.2315354
9163500,1923,416910,195.5515525
9163500,1923,629032,295.0473343
9163500,1923,823311,386.1738606
9163500,1923,408465,191.5904269
9163500,1923,244872,114.8571628
9163500,1923,267406,125.426731
9163500,1923,230255,108.0010619
9163500,1923,179270,84.0865578
9163500,1924,164396,77.10991106
9163500,1924,151273,70.95457052
9163500,1924,162639,76.28579056
9163500,1924,367220,172.2444679
9163500,1924,308911,144.894643
9163500,1924,399721,187.4890554
9163500,1924,392503,184.103454
9163500,1924,179819,84.34406614
9163500,1924,207760,97.44978662
9163500,1924,198450,93.08293298
9163500,1924,212482,99.66463978
9163500,1924,167371,78.50533422
9163500,1925,157367,73.81296001
9163500,1925,147980,69.40998953
9163500,1925,210507,98.73826642
9163500,1925,402285,188.6916991
9163500,1925,879685,412.616074
9163500,1925,710146,333.0938399
9163500,1925,390404,183.1189184
9163500,1925,337334,158.2264455
9163500,1925,253520,118.9135055
9163500,1925,297350,139.4719583
9163500,1925,211755,99.32364058
9163500,1925,167559,78.59351558
9163500,1926,144440,67.74955323
9163500,1926,146617,68.77067465
9163500,1926,178952,83.93739996
9163500,1926,403644,189.3291378
9163500,1926,139013,65.20401996
9163500,1926,412913,193.6767604
9163500,1926,661186,310.1291616
9163500,1926,228546,107.1994558
9163500,1926,202249,94.86485317
9163500,1926,221309,103.8049424
9163500,1926,208349,97.72605695
9163500,1926,173526,81.39233574
9163500,1927,160032,75.06297773
9163500,1927,151070,70.85935341
9163500,1927,192073,90.0918024
9163500,1927,395357,185.4421221
9163500,1927,386036,181.0701089
9163500,1927,278406,130.5862789
9163500,1927,560688,262.9905947
9163500,1927,370993,174.0141928
9163500,1927,338728,158.8803009
9163500,1927,306897,143.9499767
9163500,1927,239392,112.2867699
9163500,1927,195575,91.7344148
9163500,1928,189496,88.88306106
9163500,1928,166286,77.99641518
9163500,1928,228827,107.3312588
9163500,1928,339918,159.4384702
9163500,1928,569144,266.9568798
9163500,1928,338009,158.5430541
9163500,1928,732424,343.5433313
9163500,1928,259229,121.5913108
9163500,1928,136606,64.07501709
9163500,1928,209591,98.30861681
9163500,1928,221538,103.9123548
9163500,1928,166950,78.30786425
9163500,1929,142280,66.73640566
9163500,1929,134546,63.1087745
9163500,1929,237963,111.6164978
9163500,1929,371227,174.1239504
9163500,1929,633497,297.1416417
9163500,1929,676762,317.4350813
9163500,1929,696612,326.7457199
9163500,1929,386701,181.382027
9163500,1929,477075,223.7719337
9163500,1929,330905,155.2109243
9163500,1929,262787,123.26019
9163500,1929,184696,86.63162202
9163500,1930,147392,69.13418824
9163500,1930,173996,81.61278915
9163500,1930,185754,87.1278767
9163500,1930,551040,258.4652023
9163500,1930,980566,459.934287
9163500,1930,930746,436.5662259
9163500,1930,342175,160.4971156
9163500,1930,344049,161.3761149
9163500,1930,146069,68.51363536
9163500,1930,200826,94.1973953
9163500,1930,201974,94.73586447
9163500,1930,179468,84.17942966
9163500,1931,170401,79.92655511
9163500,1931,151204,70.92220609
9163500,1931,155673,73.01838965
9163500,1931,134139,62.91787123
9163500,1931,391054,183.4238008
9163500,1931,482972,226.5379204
9163500,1931,169857,79.67139202
9163500,1931,123326,57.84603574
9163500,1931,183618,86.12598633
9163500,1931,217971,102.2392541
9163500,1931,205018,96.16365207
9163500,1931,169524,79.51519844
9163500,1932,137319,64.4094496
9163500,1932,163565,76.72013067
9163500,1932,191162,89.66449803
9163500,1932,543721,255.0322268
9163500,1932,377987,177.2947271
9163500,1932,179075,83.99509308
9163500,1932,589556,276.5311244
9163500,1932,354346,166.2059207
9163500,1932,138085,64.76874175
9163500,1932,175612,82.37077362
9163500,1932,199528,93.58856866
9163500,1932,156709,73.50432524
9163500,1933,130483,61.20302516
9163500,1933,125442,58.83854512
9163500,1933,174711,81.94815975
9163500,1933,176018,82.56120784
9163500,1933,917466,430.3372446
9163500,1933,628972,295.0191913
9163500,1933,378397,177.4870375
9163500,1933,194153,91.06742598
9163500,1933,132020,61.92395471
9163500,1933,142023,66.61585986
9163500,1933,181132,84.95992852
9163500,1933,165321,77.54378212
9163500,1934,142631,66.90104214
9163500,1934,130828,61.36484734
9163500,1934,138448,64.93900683
9163500,1934,136502,64.02623591
9163500,1934,712292,334.1004207
9163500,1934,178532,83.74039904
9163500,1934,99069,46.46829472
9163500,1934,118777,55.71232819
9163500,1934,136501,64.02576686
9163500,1934,144213,67.64307893
9163500,1934,120894,56.70530662
9163500,1934,143279,67.20498641
9163500,1935,129441,60.71427527
9163500,1935,116526,54.65649709
9163500,1935,137886,64.67540084
9163500,1935,137689,64.58299803
9163500,1935,348936,163.6683613
9163500,1935,427486,200.5122232
9163500,1935,517590,242.7754864
9163500,1935,217719,102.1210536
9163500,1935,213453,100.1200871
9163500,1935,180128,84.48900252
9163500,1935,189260,88.77236531
9163500,1935,155270,72.82936258
9163500,1936,149805,70.26600541
9163500,1936,135472,63.54311462
9163500,1936,161903,75.9405699
9163500,1936,423929,198.843813
9163500,1936,545329,255.7864588
9163500,1936,39073,18.32718287
9163500,1936,382688,179.4997302
9163500,1936,329378,154.4946853
9163500,1936,221244,103.7744541
9163500,1936,195155,91.53741388
9163500,1936,187279,87.84317765
9163500,1936,161072,75.55078952
9163500,1937,142308,66.74953906
9163500,1937,134658,63.16130808
9163500,1937,180084,84.46836433
9163500,1937,309774,145.299433
9163500,1937,908151,425.9680457
9163500,1937,581550,272.7759117
9163500,1937,335846,157.5284994
9163500,1937,163265,76.57941573
9163500,1937,214188,100.4648387
9163500,1937,174887,82.03071252
9163500,1937,181266,85.0227812
9163500,1937,170984,80.20001115
9163500,1938,151525,71.07277107
9163500,1938,136084,63.8301731
9163500,1938,194132,91.05757594
9163500,1938,542623,254.5172101
9163500,1938,73876,34.65152309
9163500,1938,766060,359.3202904
9163500,1938,613642,287.8286579
9163500,1938,236095,110.7403127
9163500,1938,249108,116.8440578
9163500,1938,206336,96.78185971
9163500,1938,207752,97.44603422
9163500,1938,182816,85.74980839
9163500,1939,168368,78.97297687
9163500,1939,149721,70.22660523
9163500,1939,231653,108.6567935
9163500,1939,366914,172.1009386
9163500,1939,47594,22.32395622
9163500,1939,692328,324.7363105
9163500,1939,196359,92.10214984
9163500,1939,150988,70.82089133
9163500,1939,190961,89.57021902
9163500,1939,130946,61.42019522
9163500,1939,184021,86.3150134
9163500,1939,150950,70.80306744
9163500,1940,142789,66.97515201
9163500,1940,130882,61.39017603
9163500,1940,167170,78.41105521
9163500,1940,256820,120.4613699
9163500,1940,602309,282.5129165
9163500,1940,513190,240.7116673
9163500,1940,149313,70.03523291
9163500,1940,110893,52.01433956
9163500,1940,181566,85.16349614
9163500,1940,212012,99.44418637
9163500,1940,178664,83.80231362
9163500,1940,159146,74.6473996
9163500,1941,145729,68.35415843
9163500,1941,141120,66.19230789
9163500,1941,171593,80.48566247
9163500,1941,263450,123.57117
9163500,1941,228859,107.3462684
9163500,1941,845052,396.3714723
9163500,1941,367876,172.5521645
9163500,1941,214327,100.5300367
9163500,1941,226527,106.2524442
9163500,1941,391586,183.6733353
9163500,1941,259695,121.809888
9163500,1941,195651,91.77006258
9163500,1942,172536,80.92797644
9163500,1942,156393,73.3561055
9163500,1942,192463,90.27473182
9163500,1942,770513,361.4089692
9163500,1942,959281,449.950562
9163500,1942,372894,174.9058564
9163500,1942,457750,214.7075463
9163500,1942,204798,96.06046111
9163500,1942,159235,74.68914504
9163500,1942,164870,77.33224066
9163500,1942,189900,89.07255718
9163500,1942,166438,78.06771075
9163500,1943,156612,73.45882741
9163500,1943,137976,64.71761532
9163500,1943,159365,74.75012151
9163500,1943,431608,202.4456464
9163500,1943,583805,273.833619
9163500,1943,58106,27.25460773
