Gage,Year,Simulated Flow (acre-feet/month),Simulated Flow (m3/s)
9085100,1908,90018,42.22292497
9085100,1908,72055,33.7973834
9085100,1908,69401,32.55252523
9085100,1909,69939,32.80487402
9085100,1909,55946,26.24146016
9085100,1909,73678,34.55865123
9085100,1909,103253,48.43079909
9085100,1909,312528,146.5911962
9085100,1909,1485909,696.9653205
9085100,1909,570528,267.6060448
9085100,1909,238544,111.8890157
9085100,1909,240486,112.7999104
9085100,1909,149494,70.12013093
9085100,1909,119705,56.14760641
9085100,1909,100553,47.16436462
9085100,1910,92436,43.35708739
9085100,1910,73874,34.65058499
9085100,1910,138327,64.8822518
9085100,1910,156025,73.18349518
9085100,1910,338461,158.7550646
9085100,1910,448981,210.5944486
9085100,1910,173996,81.61278915
9085100,1910,130217,61.07825792
9085100,1910,139006,65.20073661
9085100,1910,122460,57.43983861
9085100,1910,90032,42.22949167
9085100,1910,73415,34.43529113
9085100,1911,76845,36.04413195
9085100,1911,64060,30.04733024
9085100,1911,82272,38.58966521
9085100,1911,116248,54.52610125
9085100,1911,459812,215.674727
9085100,1911,699730,328.2082171
9085100,1911,371947,174.4616663
9085100,1911,186541,87.4970189
9085100,1911,126089,59.14202034
9085100,1911,202129,94.80856719
9085100,1911,102995,48.30978424
9085100,1911,83719,39.26838028
9085100,1912,86214,40.43865953
9085100,1912,69554,32.62428985
9085100,1912,82018,38.47052656
9085100,1912,106666,50.03166606
9085100,1912,452227,212.1169843
9085100,1912,1329847,623.7644705
9085100,1912,739716,346.9636425
9085100,1912,299394,140.4306961
9085100,1912,169651,79.57476776
9085100,1912,159523,74.82423138
9085100,1912,105991,49.71505744
9085100,1912,92625,43.4457378
9085100,1913,87063,40.83688281
9085100,1913,70331,32.98874154
9085100,1913,78419,36.78241633
9085100,1913,165129,77.45372456
9085100,1913,421715,197.8053368
9085100,1913,491760,230.6599301
9085100,1913,273248,128.16692
9085100,1913,136958,64.24012262
9085100,1913,138420,64.92587343
9085100,1913,153179,71.84857944
9085100,1913,109909,51.55279456
9085100,1913,84293,39.53761486
9085100,1914,82127,38.52165299
9085100,1914,71863,33.70732584
9085100,1914,95789,44.92981137
9085100,1914,158006,74.11268283
9085100,1914,876307,411.0316238
9085100,1914,1462950,686.1964061
9085100,1914,660819,309.9570203
9085100,1914,230251,107.9991857
9085100,1914,162961,76.43682459
9085100,1914,164528,77.17182563
9085100,1914,102065,47.87356792
9085100,1914,79969,37.50944352
9085100,1915,77256,36.23691141
9085100,1915,68758,32.25092621
9085100,1915,78560,36.84855235
9085100,1915,117457,55.09318246
9085100,1915,196791,92.30477936
9085100,1915,585723,274.7332565
9085100,1915,305672,143.3753907
9085100,1915,136301,63.9319569
9085100,1915,115358,54.10864692
9085100,1915,123014,57.6996922
9085100,1915,86572,40.60657936
9085100,1915,78898,37.00709119
9085100,1916,77478,36.34104047
9085100,1916,65016,30.49574185
9085100,1916,106586,49.99414207
9085100,1916,155291,72.83921262
9085100,1916,417273,195.7218175
9085100,1916,848638,398.0534849
9085100,1916,457709,214.6883153
9085100,1916,287893,135.0361543
9085100,1916,176911,82.98006932
9085100,1916,187441,87.91916372
9085100,1916,112761,52.89052459
9085100,1916,94331,44.24593676
9085100,1917,87343,40.96821675
9085100,1917,72876,34.18247329
9085100,1917,85594,40.14784865
9085100,1917,174812,81.99553378
9085100,1917,394901,185.2282354
9085100,1917,1333041,625.2626156
9085100,1917,789448,370.2904272
9085100,1917,245134,114.9800539
9085100,1917,174304,81.75725648
9085100,1917,147632,69.2467602
9085100,1917,121268,56.88073125
9085100,1917,107075,50.22350742
9085100,1918,95519,44.80316793
9085100,1918,81093,38.0366555
9085100,1918,120922,56.71844002
9085100,1918,139676,65.51499998
9085100,1918,519620,243.7276575
9085100,1918,1419898,666.0028741
9085100,1918,431403,202.3494912
9085100,1918,173796,81.51897919
9085100,1918,181690,85.22165831
9085100,1918,161806,75.89507207
9085100,1918,121175,56.83710962
9085100,1918,98933,46.40450395
9085100,1919,91007,42.68681522
9085100,1919,69652,32.67025673
9085100,1919,98335,46.12401217
9085100,1919,161805,75.89460302
9085100,1919,458398,215.0114906
9085100,1919,368701,172.9391306
9085100,1919,203157,95.29075039
9085100,1919,152683,71.61593074
9085100,1919,141357,66.3034727
9085100,1919,134878,63.26449904
9085100,1919,105292,49.38719163
9085100,1919,94525,44.33693242
9085100,1920,85633,40.16614159
9085100,1920,67997,31.89397931
9085100,1920,75943,35.62104902
9085100,1920,93905,44.04612155
9085100,1920,728443,341.6760441
9085100,1920,1082304,507.6544756
9085100,1920,489772,229.7274591
9085100,1920,223470,104.818559
9085100,1920,163077,76.49123437
9085100,1920,152834,71.68675726
9085100,1920,117721,55.2170116
9085100,1920,95650,44.86461345
9085100,1921,89717,42.08174098
9085100,1921,69979,32.82363601
9085100,1921,112569,52.80046703
9085100,1921,107962,50.6395546
9085100,1921,558702,262.0590618
9085100,1921,1379612,647.1067338
9085100,1921,476957,223.7165859
9085100,1921,262913,123.3192903
9085100,1921,193372,90.70109809
9085100,1921,134643,63.15427233
9085100,1921,108476,50.8806462
9085100,1921,106943,50.16159285
9085100,1922,89801,42.12114116
9085100,1922,76082,35.68624695
9085100,1922,114557,53.73293803
9085100,1922,118825,55.73484258
9085100,1922,505387,237.0516717
9085100,1922,739121,346.6845578
9085100,1922,267022,125.2466159
9085100,1922,185736,87.11943381
9085100,1922,145400,68.19984104
9085100,1922,128121,60.09512953
9085100,1922,97864,45.90308971
9085100,1922,94798,44.46498302
9085100,1923,88002,41.27732057
9085100,1923,68644,32.19745453
9085100,1923,80641,37.82464499
9085100,1923,104441,48.98803025
9085100,1923,501535,235.2448919
9085100,1923,975498,457.5571426
9085100,1923,564036,264.5609735
9085100,1923,265591,124.5754057
9085100,1923,170867,80.14513232
9085100,1923,175449,82.29431851
9085100,1923,124690,58.48581967
9085100,1923,99389,46.61839066
9085100,1924,97718,45.83460844
9085100,1924,79212,37.15437282
9085100,1924,84596,39.67973695
9085100,1924,149454,70.10136893
9085100,1924,454752,213.301335
9085100,1924,861102,403.8997216
9085100,1924,283047,132.763139
9085100,1924,127750,59.92111206
9085100,1924,124180,58.24660427
9085100,1924,141043,66.15619106
9085100,1924,110337,51.75354787
9085100,1924,82297,38.60139146
9085100,1925,79255,37.17454197
9085100,1925,67681,31.74575957
9085100,1925,107085,50.22819792
9085100,1925,162922,76.41853165
9085100,1925,364594,171.0127431
9085100,1925,478799,224.5805756
9085100,1925,282024,132.283301
9085100,1925,184161,86.38068037
9085100,1925,188814,88.56316909
9085100,1925,168902,79.22344946
9085100,1925,115875,54.35114567
9085100,1925,88886,41.6919606
9085100,1926,79747,37.40531447
9085100,1926,65693,30.81328857
9085100,1926,83820,39.31575431
9085100,1926,170609,80.02411747
9085100,1926,498948,234.03146
9085100,1926,864752,405.6117534
9085100,1926,454590,213.225349
9085100,1926,182639,85.66678657
9085100,1926,116812,54.79064534
9085100,1926,133508,62.62190081
9085100,1926,102174,47.92469435
9085100,1926,88259,41.39786637
9085100,1927,82782,38.82888061
9085100,1927,68656,32.20308313
9085100,1927,84260,39.52213622
9085100,1927,142856,67.00657835
9085100,1927,681263,319.5462745
9085100,1927,806941,378.4955153
9085100,1927,399956,187.5992821
9085100,1927,240396,112.7576959
9085100,1927,183360,86.00497148
9085100,1927,172674,80.99270531
9085100,1927,132911,62.34187808
9085100,1927,109552,51.38534378
9085100,1928,100738,47.25113884
9085100,1928,79637,37.35371899
9085100,1928,107667,50.50118491
9085100,1928,140353,65.8325467
9085100,1928,812959,381.318257
9085100,1928,845814,396.7288882
9085100,1928,504885,236.8162087
9085100,1928,193100,90.57351654
9085100,1928,151651,71.13187135
9085100,1928,142198,66.69794358
9085100,1928,113592,53.28030498
9085100,1928,86722,40.67693683
9085100,1929,88058,41.30358736
9085100,1929,71837,33.69513054
9085100,1929,90603,42.49731911
9085100,1929,144750,67.89495867
9085100,1929,554823,260.2396176
9085100,1929,1017067,477.0550738
9085100,1929,491310,230.4488576
9085100,1929,293998,137.8997033
9085100,1929,292386,137.1435951
9085100,1929,205397,96.34142194
9085100,1929,139692,65.52250478
9085100,1929,99706,46.76707944
9085100,1930,91413,42.87724944
9085100,1930,74469,34.92966962
9085100,1930,84797,39.77401596
9085100,1930,228772,107.305461
9085100,1930,318630,149.453338
9085100,1930,608230,285.2901604
9085100,1930,254470,119.3591028
9085100,1930,266417,124.9628408
9085100,1930,153622,72.0563685
9085100,1930,121799,57.12979669
9085100,1930,91605,42.96730701
9085100,1930,79921,37.48692913
9085100,1931,71590,33.57927524
9085100,1931,60581,28.41550598
9085100,1931,71736,33.64775651
9085100,1931,93348,43.78486081
9085100,1931,197440,92.60919268
9085100,1931,335934,157.5697758
9085100,1931,138364,64.89960664
9085100,1931,97314,45.64511232
9085100,1931,107107,50.23851702
9085100,1931,112414,52.72776431
9085100,1931,73917,34.67075413
9085100,1931,62250,29.1983501
9085100,1932,58388,27.38687977
9085100,1932,57770,27.09700699
9085100,1932,74344,34.87103839
9085100,1932,157506,73.87815793
9085100,1932,541578,254.027053
9085100,1932,746263,350.0345115
9085100,1932,407831,191.2930493
9085100,1932,198942,93.31370548
9085100,1932,119136,55.88071707
9085100,1932,124999,58.63075605
9085100,1932,94711,44.42417569
9085100,1932,82892,38.88047609
9085100,1933,88964,41.72854648
9085100,1933,65282,30.6205091
9085100,1933,77434,36.32040228
9085100,1933,87778,41.17225342
9085100,1933,248387,116.5058729
9085100,1933,967601,453.8530563
9085100,1933,272854,127.9821144
9085100,1933,138820,65.11349335
9085100,1933,123127,57.75269483
9085100,1933,98858,46.36932521
9085100,1933,82696,38.78854233
9085100,1933,71941,33.74391172
9085100,1934,67069,31.45870109
9085100,1934,56148,26.33620822
9085100,1934,69916,32.79408588
9085100,1934,104288,48.91626563
9085100,1934,293548,137.6886309
9085100,1934,150427,70.55775439
9085100,1934,95432,44.76236059
9085100,1934,87209,40.90536408
9085100,1934,87187,40.89504499
9085100,1934,96360,45.19763881
9085100,1934,64337,30.17725704
9085100,1934,56816,26.64953348
9085100,1935,54003,25.33009639
9085100,1935,47174,22.1269553
9085100,1935,61203,28.70725496
9085100,1935,88720,41.61409833
9085100,1935,193424,90.72548868
9085100,1935,797694,374.1582118
9085100,1935,341393,160.1303187
9085100,1935,166758,78.21780669
9085100,1935,132375,62.09046739
9085100,1935,123017,57.70109935
9085100,1935,94693,44.41573279
9085100,1935,71518,33.54550366
9085100,1936,72137,33.83584548
9085100,1936,63341,29.71008343
9085100,1936,74207,34.80677857
9085100,1936,201309,94.42394636
9085100,1936,778339,365.0797529
9085100,1936,638380,299.4320119
9085100,1936,269692,126.4989789
9085100,1936,221023,103.6707941
9085100,1936,139182,65.28328938
9085100,1936,111001,52.06499694
9085100,1936,95952,45.00626649
9085100,1936,76563,35.9118599
9085100,1937,69504,32.60083736
9085100,1937,65937,30.92773672
9085100,1937,80883,37.93815504
9085100,1937,97175,45.5799144
9085100,1937,477020,223.746136
9085100,1937,389182,182.5457396
9085100,1937,225905,105.9606953
9085100,1937,113285,53.13630669
9085100,1937,116992,54.8750743
9085100,1937,134282,62.98494536
9085100,1937,98836,46.35900612
9085100,1937,79680,37.37388813
9085100,1938,72509,34.01033201
9085100,1938,66599,31.23824769
9085100,1938,97498,45.73141748
9085100,1938,168846,79.19718267
9085100,1938,515227,241.6671217
9085100,1938,1066093,500.0507093
9085100,1938,419412,196.7251151
9085100,1938,176425,82.75211111
9085100,1938,187854,88.11288129
9085100,1938,130909,61.40284038
9085100,1938,99811,46.81632967
9085100,1938,95444,44.76798919
9085100,1939,87195,40.89879738
9085100,1939,69133,32.42681988
9085100,1939,96329,45.18309826
9085100,1939,145703,68.34196313
9085100,1939,550411,258.1701699
9085100,1939,466725,218.9172683
9085100,1939,166818,78.24594968
9085100,1939,119168,55.89572667
9085100,1939,117315,55.02657738
9085100,1939,94180,44.17511024
9085100,1939,81267,38.11827016
9085100,1939,65138,30.55296593
9085100,1940,64558,30.28091704
9085100,1940,59589,27.95020858
9085100,1940,75173,35.25988068
9085100,1940,100993,47.37074654
9085100,1940,340424,159.6758094
9085100,1940,365859,171.6060911
9085100,1940,140678,65.98498788
9085100,1940,93905,44.04612155
9085100,1940,116865,54.81550497
9085100,1940,128212,60.13781306
9085100,1940,87780,41.17319152
9085100,1940,76225,35.75332107
9085100,1941,66382,31.13646388
9085100,1941,62645,29.38362477
9085100,1941,77496,36.34948337
9085100,1941,94860,44.49406411
9085100,1941,532603,249.8173311
9085100,1941,528847,248.05558
9085100,1941,257480,120.7709427
9085100,1941,146401,68.66935989
9085100,1941,132692,62.23915617
9085100,1941,152178,71.37906059
9085100,1941,103994,48.77836499
9085100,1941,86765,40.69710597
9085100,1942,75373,35.35369064
9085100,1942,66161,31.03280387
9085100,1942,73580,34.51268435
9085100,1942,187109,87.76343918
9085100,1942,394281,184.9374245
9085100,1942,808293,379.1296707
9085100,1942,312334,146.5002005
9085100,1942,143597,67.35414425
9085100,1942,107366,50.36000092
9085100,1942,104174,48.86279395
9085100,1942,93545,43.87726362
9085100,1942,79289,37.19048966
9085100,1943,73645,34.54317258
9085100,1943,66401,31.14537583
9085100,1943,83529,39.17926081
9085100,1943,184613,86.59269088
9085100,1943,344576,161.6233042
9085100,1943,701364,328.9746445
9085100,1943,318024,149.1690939
9085100,1943,202963,95.19975473
9085100,1943,130562,61.2400801
9085100,1943,112874,52.94352722
9085100,1943,93060,43.64977447
9085100,1943,79314,37.2022159
9085100,1944,71746,33.65244701
9085100,1944,66017,30.9652607
9085100,1944,76053,35.6726445
9085100,1944,101583,47.64748592
9085100,1944,328901,154.2709485
9085100,1944,650758,305.2379103
9085100,1944,315408,147.9420596
9085100,1944,126484,59.32729501
9085100,1944,95485,44.78722023
9085100,1944,100578,47.17609087
9085100,1944,80635,37.82183069
9085100,1944,67769,31.78703595
9085100,1945,67109,31.47746308
9085100,1945,57488,26.96473495
9085100,1945,68847,32.29267164
9085100,1945,92848,43.55033591
9085100,1945,338333,158.6950263
9085100,1945,591905,277.6329224
9085100,1945,393614,184.6245683
9085100,1945,238419,111.8303845
9085100,1945,138823,65.1149005
9085100,1945,130056,61.0027409
9085100,1945,102363,48.01334476
9085100,1945,81819,38.37718565
9085100,1946,72731,34.11446106
9085100,1946,64654,30.32594582
9085100,1946,82926,38.89642378
9085100,1946,167248,78.44764109
9085100,1946,258517,121.2573474
9085100,1946,561266,263.2617055
9085100,1946,235388,110.4086945
9085100,1946,147372,69.12480725
9085100,1946,120215,56.38682181
9085100,1946,122846,57.62089183
9085100,1946,89391,41.92883075
9085100,1946,73865,34.64636354
9085100,1947,59410,27.86624867
9085100,1947,64461,30.23541921
9085100,1947,86343,40.49916695
9085100,1947,127636,59.86764038
9085100,1947,505157,236.9437902
9085100,1947,754896,354.0838185
9085100,1947,573379,268.9433058
9085100,1947,231452,108.5625145
9085100,1947,157599,73.92177956
9085100,1947,151996,71.29369353
9085100,1947,124116,58.21658508
9085100,1947,96642,45.32991085
9085100,1948,88879,41.68867725
9085100,1948,80017,37.53195791
9085100,1948,85426,40.06904829
9085100,1948,164328,77.07801567
9085100,1948,637814,299.1665297
9085100,1948,646789,303.3762516
9085100,1948,268638,126.0046004
9085100,1948,159128,74.63895671
9085100,1948,103488,48.54102579
9085100,1948,116084,54.44917708
9085100,1948,93775,43.98514507
9085100,1948,81847,38.39031905
9085100,1949,79362,37.22473029
9085100,1949,67724,31.76592871
9085100,1949,83559,39.19333231
9085100,1949,120985,56.74799015
9085100,1949,349991,164.1632088
9085100,1949,807676,378.8402669
9085100,1949,440045,206.4030196
9085100,1949,167096,78.37634552
9085100,1949,125719,58.96847191
9085100,1949,134396,63.03841703
9085100,1949,100459,47.12027394
9085100,1949,80244,37.63843222
9085100,1950,74490,34.93951966
9085100,1950,67697,31.75326437
9085100,1950,76908,36.07368208
9085100,1950,126064,59.13029409
9085100,1950,280101,131.3813183
9085100,1950,658626,308.9283941
9085100,1950,240685,112.8932513
9085100,1950,119753,56.1701208
9085100,1950,118232,55.45669605
9085100,1950,94128,44.15071965
9085100,1950,95149,44.6296195
9085100,1950,83838,39.3241972
9085100,1951,71408,33.49390818
9085100,1951,67410,31.61864707
9085100,1951,76288,35.78287121
9085100,1951,100890,47.32243441
9085100,1951,370542,173.8026513
9085100,1951,692155,324.6551649
9085100,1951,472334,221.5481686
9085100,1951,204343,95.84704345
9085100,1951,124313,58.30898789
9085100,1951,137959,64.70964147
9085100,1951,105163,49.32668421
9085100,1951,90810,42.59441241
9085100,1952,86362,40.5080789
9085100,1952,70832,33.22373549
9085100,1952,77873,36.52631514
9085100,1952,184570,86.57252174
9085100,1952,617776,289.7677098
9085100,1952,1219620,572.0625181
9085100,1952,409256,191.9614453
9085100,1952,256912,120.5045224
9085100,1952,159366,74.75059056
9085100,1952,113507,53.24043574
9085100,1952,105627,49.54432331
9085100,1952,92175,43.23466539
9085100,1953,97258,45.61884553
9085100,1953,71954,33.75000937
9085100,1953,87632,41.10377215
9085100,1953,102892,48.26147211
9085100,1953,240551,112.8303986
9085100,1953,732878,343.7562799
9085100,1953,262480,123.1161917
9085100,1953,184515,86.546724
9085100,1953,115194,54.03172276
9085100,1953,87602,41.08970065
9085100,1953,98002,45.96781858
9085100,1953,84254,39.51932192
9085100,1954,89472,41.96682378
9085100,1954,52039,24.40888259
9085100,1954,66354,31.12333048
9085100,1954,82272,38.58966521
9085100,1954,200437,94.01493493
9085100,1954,165847,77.79050232
9085100,1954,131922,61.87798783
9085100,1954,98855,46.36791806
9085100,1954,95542,44.81395607
9085100,1954,109521,51.37080324
9085100,1954,86511,40.57796732
9085100,1954,72903,34.19513763
9085100,1955,66187,31.04499917
9085100,1955,58720,27.54260431
9085100,1955,69042,32.38413635
9085100,1955,106623,50.01149691
9085100,1955,251014,117.7380667
9085100,1955,388052,182.0157133
9085100,1955,196858,92.33620569
9085100,1955,140907,66.09240029
9085100,1955,97337,45.65590046
9085100,1955,109416,51.32155301
9085100,1955,83162,39.00711954
9085100,1955,74799,35.08445605
9085100,1956,68659,32.20449028
9085100,1956,61269,28.73821225
9085100,1956,78031,36.60042501
9085100,1956,119397,56.00313907
9085100,1956,473467,222.0796021
9085100,1956,504708,236.7331869
9085100,1956,156793,73.54372542
9085100,1956,124084,58.20157549
9085100,1956,120522,56.5308201
9085100,1956,80352,37.6890896
9085100,1956,80041,37.54321511
9085100,1956,71002,33.30347396
9085100,1957,70416,33.02861078
9085100,1957,62376,29.25745038
9085100,1957,74712,35.04364872
9085100,1957,103149,48.38201791
9085100,1957,359541,168.6426344
9085100,1957,1213155,569.0301111
9085100,1957,978212,458.8301438
9085100,1957,297157,139.3814317
9085100,1957,167697,78.65824445
